COD_MUN_IBGE,NOME_CANDIDATO,QTDE_VOTOS
2924058,DILMA VANA ROUSSEFF,4906
2924108,DILMA VANA ROUSSEFF,2942
2924207,DILMA VANA ROUSSEFF,4478
2924306,DILMA VANA ROUSSEFF,7438
2924405,DILMA VANA ROUSSEFF,12472
2924504,DILMA VANA ROUSSEFF,5121
2924603,DILMA VANA ROUSSEFF,5962
2924652,DILMA VANA ROUSSEFF,3181
2924678,DILMA VANA ROUSSEFF,2300
2924702,DILMA VANA ROUSSEFF,3256
2924801,DILMA VANA ROUSSEFF,7024
2924900,DILMA VANA ROUSSEFF,3337
2925006,DILMA VANA ROUSSEFF,8198
2925105,DILMA VANA ROUSSEFF,13463
2925204,DILMA VANA ROUSSEFF,14567
2925253,DILMA VANA ROUSSEFF,4533
2925303,DILMA VANA ROUSSEFF,29572
2925402,DILMA VANA ROUSSEFF,3581
2925501,DILMA VANA ROUSSEFF,7298
2925600,DILMA VANA ROUSSEFF,6807
2925709,DILMA VANA ROUSSEFF,4531
2925758,DILMA VANA ROUSSEFF,5628
2925808,DILMA VANA ROUSSEFF,9328
2925907,DILMA VANA ROUSSEFF,9922
2925931,DILMA VANA ROUSSEFF,3138
2925956,DILMA VANA ROUSSEFF,7453
2926004,DILMA VANA ROUSSEFF,15999
2926103,DILMA VANA ROUSSEFF,5497
2926202,DILMA VANA ROUSSEFF,9101
2926301,DILMA VANA ROUSSEFF,12252
2926400,DILMA VANA ROUSSEFF,11405
2926509,DILMA VANA ROUSSEFF,5160
2926608,DILMA VANA ROUSSEFF,17277
2926657,DILMA VANA ROUSSEFF,3336
2926707,DILMA VANA ROUSSEFF,5883
2926806,DILMA VANA ROUSSEFF,5637
2926905,DILMA VANA ROUSSEFF,4403
2927002,DILMA VANA ROUSSEFF,13600
2927101,DILMA VANA ROUSSEFF,3287
2927200,DILMA VANA ROUSSEFF,10756
2927309,DILMA VANA ROUSSEFF,5733
2927408,DILMA VANA ROUSSEFF,932949
2927507,DILMA VANA ROUSSEFF,8244
2927606,DILMA VANA ROUSSEFF,6100
2927705,DILMA VANA ROUSSEFF,5110
2927804,DILMA VANA ROUSSEFF,1771
2927903,DILMA VANA ROUSSEFF,3997
2928000,DILMA VANA ROUSSEFF,11619
2928059,DILMA VANA ROUSSEFF,3144
2928109,DILMA VANA ROUSSEFF,12952
2928208,DILMA VANA ROUSSEFF,10184
2928307,DILMA VANA ROUSSEFF,4039
2928406,DILMA VANA ROUSSEFF,9888
2928505,DILMA VANA ROUSSEFF,3731
2928604,DILMA VANA ROUSSEFF,25443
2928703,DILMA VANA ROUSSEFF,30582
2928802,DILMA VANA ROUSSEFF,16502
2928901,DILMA VANA ROUSSEFF,9488
2928950,DILMA VANA ROUSSEFF,3349
2929008,DILMA VANA ROUSSEFF,5113
2929057,DILMA VANA ROUSSEFF,4415
